timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731765544821,164,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/strategy/stock/break.json?interval=15&market=stock&id=break,200,OK,Thread Group 1-25,text,true,,444,412,30,30,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/strategy/stock/break.json,0,0,0
1731765544824,161,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?interval=15&market=crypto&id=shootStar,200,OK,Thread Group 1-22,text,true,,498,454,30,30,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?market=crypto&interval=15&id=shootStar,161,0,0
1731765544813,175,https://www.tradeoxy.com/_next/static/css/8ed86fb4f9d82b97.css,200,OK,Thread Group 1-6,text,true,,2126,372,30,30,https://www.tradeoxy.com/_next/static/css/8ed86fb4f9d82b97.css,175,0,0
1731765544836,155,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?interval=15&market=crypto&id=shootStar,200,OK,Thread Group 1-26,text,true,,498,454,30,30,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?market=crypto&interval=15&id=shootStar,155,0,0
1731765544836,157,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?interval=15&market=crypto&id=shootStar,200,OK,Thread Group 1-23,text,true,,498,454,30,30,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?market=crypto&interval=15&id=shootStar,157,0,0
1731765544724,269,https://api.tradeoxy.com/api/tradeoxy/market/break/all?market=stocks&interval=15,200,OK,Thread Group 1-12,text,true,,986,390,30,30,https://api.tradeoxy.com/api/tradeoxy/market/break/all?market=stocks&interval=15,269,0,0
1731765544836,157,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?interval=15&market=crypto&id=shootStar,200,OK,Thread Group 1-28,text,true,,498,454,30,30,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?market=crypto&interval=15&id=shootStar,157,0,0
1731765544836,160,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?interval=15&market=crypto&id=shootStar,200,OK,Thread Group 1-24,text,true,,498,454,30,30,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?market=crypto&interval=15&id=shootStar,160,0,0
1731765544841,155,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?interval=15&market=crypto&id=shootStar,200,OK,Thread Group 1-30,text,true,,498,454,30,30,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?market=crypto&interval=15&id=shootStar,155,0,0
1731765544724,272,https://api.tradeoxy.com/api/tradeoxy/market/dragDoji/all?market=stocks&interval=15,200,OK,Thread Group 1-9,text,true,,986,393,30,30,https://api.tradeoxy.com/api/tradeoxy/market/dragDoji/all?market=stocks&interval=15,272,0,0
1731765544858,139,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?interval=15&market=crypto&id=shootStar,200,OK,Thread Group 1-20,text,true,,498,454,30,30,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?market=crypto&interval=15&id=shootStar,139,0,0
1731765544858,141,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?interval=15&market=crypto&id=shootStar,200,OK,Thread Group 1-1,text,true,,498,454,30,30,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?market=crypto&interval=15&id=shootStar,140,0,0
1731765544733,271,https://api.tradeoxy.com/api/tradeoxy/market/dragDoji/all?market=stocks&interval=15,200,OK,Thread Group 1-2,text,true,,986,393,30,30,https://api.tradeoxy.com/api/tradeoxy/market/dragDoji/all?market=stocks&interval=15,271,0,0
1731765544721,313,https://api.tradeoxy.com/api/tradeoxy/marketstatus,200,OK,Thread Group 1-21,text,true,,925,390,30,30,https://api.tradeoxy.com/api/tradeoxy/marketstatus,313,0,0
1731765544761,273,https://api.tradeoxy.com/api/tradeoxy/market/break/all?market=stocks&interval=15,200,OK,Thread Group 1-15,text,true,,986,390,30,30,https://api.tradeoxy.com/api/tradeoxy/market/break/all?market=stocks&interval=15,273,0,0
1731765544875,160,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?interval=15&market=crypto&id=shootStar,200,OK,Thread Group 1-10,text,true,,498,454,30,30,https://www.tradeoxy.com/_next/data/nO2kzwheUD5AotL34lprU/pattern/crypto/shootStar.json?market=crypto&interval=15&id=shootStar,160,0,0
1731765544761,275,https://api.tradeoxy.com/api/tradeoxy/market/dragDoji/all?market=stocks&interval=15,200,OK,Thread Group 1-16,text,true,,986,393,30,30,https://api.tradeoxy.com/api/tradeoxy/market/dragDoji/all?market=stocks&interval=15,275,0,0
1731765544764,273,https://api.tradeoxy.com/api/tradeoxy/market/dragDoji/all?market=stocks&interval=15,200,OK,Thread Group 1-17,text,true,,986,393,30,30,https://api.tradeoxy.com/api/tradeoxy/market/dragDoji/all?market=stocks&interval=15,273,0,0
1731765544765,272,https://api.tradeoxy.com/api/tradeoxy/market/dragDoji/all?market=stocks&interval=15,200,OK,Thread Group 1-29,text,true,,986,393,30,30,https://api.tradeoxy.com/api/tradeoxy/market/dragDoji/all?market=stocks&interval=15,272,0,0
1731765544766,274,https://api.tradeoxy.com/api/tradeoxy/market/break/all?market=stocks&interval=15,200,OK,Thread Group 1-13,text,true,,986,390,30,30,https://api.tradeoxy.com/api/tradeoxy/market/break/all?market=stocks&interval=15,274,0,0
